Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
LEC,29.0,0 days 00:01:14.205000,2.0,HARD,7.0,,,0 days 00:00:19.391000,0 days 00:00:35.168000,0 days 00:00:19.646000,212.0,198.0,259.0,280.0
LEC,30.0,0 days 00:01:15.131000,2.0,HARD,8.0,,,0 days 00:00:19.432000,0 days 00:00:35.598000,0 days 00:00:20.101000,209.0,191.0,261.0,283.0
LEC,31.0,0 days 00:01:16.773000,2.0,HARD,9.0,,,0 days 00:00:19.539000,0 days 00:00:36.835000,0 days 00:00:20.399000,199.0,184.0,260.0,283.0
LEC,32.0,0 days 00:01:16.418000,2.0,HARD,10.0,,,0 days 00:00:19.948000,0 days 00:00:36.351000,0 days 00:00:20.119000,,190.0,261.0,282.0
LEC,33.0,0 days 00:01:15.515000,2.0,HARD,11.0,,,0 days 00:00:19.733000,0 days 00:00:35.914000,0 days 00:00:19.868000,202.0,195.0,259.0,278.0
LEC,34.0,0 days 00:01:14.980000,2.0,HARD,12.0,,,0 days 00:00:19.548000,0 days 00:00:35.618000,0 days 00:00:19.814000,209.0,196.0,258.0,278.0
LEC,35.0,0 days 00:01:14.349000,2.0,HARD,13.0,,,0 days 00:00:19.304000,0 days 00:00:35.311000,0 days 00:00:19.734000,212.0,197.0,258.0,276.0
LEC,36.0,0 days 00:01:14.055000,2.0,HARD,14.0,,,0 days 00:00:19.337000,0 days 00:00:35.063000,0 days 00:00:19.655000,,198.0,258.0,277.0
LEC,37.0,0 days 00:01:14.105000,2.0,HARD,15.0,,,0 days 00:00:19.251000,0 days 00:00:35.202000,0 days 00:00:19.652000,211.0,198.0,258.0,277.0
LEC,38.0,0 days 00:01:14.570000,2.0,HARD,16.0,,,0 days 00:00:19.364000,0 days 00:00:35.376000,0 days 00:00:19.830000,212.0,198.0,258.0,278.0
LEC,39.0,0 days 00:01:14.140000,2.0,HARD,17.0,,,0 days 00:00:19.278000,0 days 00:00:35.190000,0 days 00:00:19.672000,211.0,202.0,258.0,278.0
LEC,40.0,0 days 00:01:14.056000,2.0,HARD,18.0,,,0 days 00:00:19.219000,0 days 00:00:35.094000,0 days 00:00:19.743000,214.0,199.0,258.0,278.0
